model,n_shots,train_ds,eval_ds,mode,seed,accuracy,f1_macro,parse_rate
camembert (lora),8,unknown,unknown,intra,42,0.35,0.07777777777777778,1.0
camembert (lora),8,unknown,unknown,intra,42,0.3333333333333333,0.15384615384615383,1.0
camembert (lora),8,unknown,unknown,intra,42,0.45,0.13145539906103285,1.0
camembert (ia3),8,unknown,unknown,intra,42,0.35,0.17355932203389832,1.0
camembert (ia3),8,unknown,unknown,intra,42,0.45,0.2333333333333333,1.0
camembert (ia3),8,unknown,unknown,intra,42,0.4,0.1923536439665472,1.0
camembert (lora),16,unknown,unknown,intra,42,0.5166666666666667,0.1560798548094374,1.0
camembert (lora),16,unknown,unknown,intra,42,0.26666666666666666,0.15584415584415584,1.0
camembert (lora),16,unknown,unknown,intra,42,0.38333333333333336,0.29379191001514166,1.0
camembert (ia3),16,unknown,unknown,intra,42,0.2,0.12461931427448668,1.0
camembert (ia3),16,unknown,unknown,intra,42,0.45,0.15384615384615383,1.0
camembert (ia3),16,unknown,unknown,intra,42,0.4666666666666667,0.22487241227870913,1.0
camembert (lora),32,unknown,unknown,intra,42,0.36666666666666664,0.2727272727272727,1.0
camembert (lora),32,unknown,unknown,intra,42,0.26666666666666666,0.2245614035087719,1.0
camembert (lora),32,unknown,unknown,intra,42,0.4,0.3049446887911502,1.0
camembert (ia3),32,unknown,unknown,intra,42,0.4,0.22496087636932707,1.0
camembert (ia3),32,unknown,unknown,intra,42,0.43333333333333335,0.20908681961313536,1.0
camembert (ia3),32,unknown,unknown,intra,42,0.48333333333333334,0.3379696706268714,1.0
camembert (lora),64,unknown,unknown,intra,42,0.3,0.3111606355921533,1.0
camembert (lora),64,unknown,unknown,intra,42,0.43333333333333335,0.2727272727272727,1.0
camembert (lora),64,unknown,unknown,intra,42,0.5166666666666667,0.24603174603174605,1.0
camembert (ia3),64,unknown,unknown,intra,42,0.26666666666666666,0.25295508274231676,1.0
camembert (ia3),64,unknown,unknown,intra,42,0.45,0.29908103592314117,1.0
camembert (ia3),64,unknown,unknown,intra,42,0.36666666666666664,0.29962190750939766,1.0
camembert (lora),128,unknown,unknown,intra,42,0.35,0.3294230335812486,1.0
camembert (lora),8,unknown,unknown,intra,42,0.23333333333333336,0.07017543859649122,1.0
camembert (lora),8,unknown,unknown,intra,123,0.23333333333333336,0.15384615384615383,1.0
camembert (lora),8,unknown,unknown,intra,999,0.31666666666666665,0.1388888888888889,1.0
camembert (ia3),8,unknown,unknown,intra,42,0.45,0.22518925518925523,1.0
camembert (ia3),8,unknown,unknown,intra,123,0.4166666666666667,0.2103605731380885,1.0
camembert (lora),128,unknown,unknown,intra,42,0.5333333333333333,0.23636363636363633,1.0
camembert (ia3),8,unknown,unknown,intra,999,0.35,0.21296296296296297,1.0
camembert (lora),16,unknown,unknown,intra,42,0.35,0.15384615384615383,1.0
camembert (lora),16,unknown,unknown,intra,123,0.2,0.15384615384615383,1.0
camembert (lora),16,unknown,unknown,intra,999,0.2,0.15384615384615383,1.0
camembert (lora),128,unknown,unknown,intra,42,0.55,0.337037037037037,1.0
camembert (ia3),16,unknown,unknown,intra,42,0.5166666666666667,0.12560386473429952,1.0
camembert (ia3),16,unknown,unknown,intra,123,0.43333333333333335,0.15384615384615383,1.0
camembert (ia3),16,unknown,unknown,intra,999,0.38333333333333336,0.3386593596906397,1.0
camembert (lora),32,unknown,unknown,intra,42,0.4166666666666667,0.2176644493717665,1.0
camembert (ia3),128,unknown,unknown,intra,42,0.48333333333333334,0.2680232558139535,1.0
camembert (lora),32,unknown,unknown,intra,123,0.3,0.2563156718086295,1.0
camembert (lora),32,unknown,unknown,intra,999,0.4166666666666667,0.3327276660177374,1.0
camembert (ia3),32,unknown,unknown,intra,42,0.5,0.29092488059053406,1.0
camembert (ia3),32,unknown,unknown,intra,123,0.38333333333333336,0.17444717444717447,1.0
camembert (ia3),32,unknown,unknown,intra,999,0.48333333333333334,0.2537648999574287,1.0
camembert (lora),64,unknown,unknown,intra,42,0.25,0.18095238095238095,1.0
camembert (ia3),128,unknown,unknown,intra,42,0.4666666666666667,0.22751322751322753,1.0
camembert (lora),64,unknown,unknown,intra,123,0.4166666666666667,0.2783519360617335,1.0
camembert (lora),64,unknown,unknown,intra,999,0.5333333333333333,0.3766081871345029,1.0
camembert (ia3),128,unknown,unknown,intra,42,0.55,0.1843137254901961,1.0
camembert (ia3),64,unknown,unknown,intra,42,0.35,0.1415748674010608,1.0
camembert (ia3),64,unknown,unknown,intra,123,0.38333333333333336,0.21412505623031935,1.0
camembert (ia3),64,unknown,unknown,intra,999,0.3,0.3781369071081329,1.0
camembert (lora),128,unknown,unknown,intra,42,0.26666666666666666,0.2627450980392157,1.0
flaubert (ia3),8,unknown,unknown,intra,42,0.23333333333333336,0.17316017316017315,1.0
flaubert (ia3),8,unknown,unknown,intra,42,0.25,0.26282051282051283,1.0
camembert (lora),128,unknown,unknown,intra,123,0.4666666666666667,0.3049446887911502,1.0
flaubert (ia3),8,unknown,unknown,intra,42,0.4,0.2612288417966147,1.0
camembert (lora),128,unknown,unknown,intra,999,0.5,0.31329068941009236,1.0
flaubert (ia3),16,unknown,unknown,intra,42,0.36666666666666664,0.2536231884057971,1.0
camembert (ia3),128,unknown,unknown,intra,42,0.48333333333333334,0.35472370766488415,1.0
flaubert (ia3),16,unknown,unknown,intra,42,0.4166666666666667,0.22841302841302843,1.0
camembert (ia3),128,unknown,unknown,intra,123,0.36666666666666664,0.34385964912280703,1.0
camembert (ia3),128,unknown,unknown,intra,999,0.5166666666666667,0.26405228758169935,1.0
flaubert (ia3),16,unknown,unknown,intra,42,0.45,0.2333333333333333,1.0
flaubert (ia3),32,unknown,unknown,intra,42,0.36666666666666664,0.15584415584415584,1.0
flaubert (ia3),32,unknown,unknown,intra,42,0.4,0.20938271604938272,1.0
flaubert (ia3),32,unknown,unknown,intra,42,0.43333333333333335,0.3595959595959595,1.0
camembert (lora),8,unknown,unknown,intra,42,0.2,1.0,1.0
flaubert (ia3),64,unknown,unknown,intra,42,0.35,0.29304029304029305,1.0
camembert (lora),8,unknown,unknown,intra,123,0.2,1.0,1.0
camembert (lora),8,unknown,unknown,intra,999,0.2,1.0,1.0
camembert (ia3),8,unknown,unknown,intra,42,0.2,1.0,1.0
camembert (ia3),8,unknown,unknown,intra,123,0.2,1.0,1.0
camembert (ia3),8,unknown,unknown,intra,999,0.2,1.0,1.0
camembert (lora),16,unknown,unknown,intra,42,0.2,1.0,1.0
camembert (lora),16,unknown,unknown,intra,123,0.2,1.0,1.0
camembert (lora),16,unknown,unknown,intra,999,0.2,1.0,1.0
camembert (ia3),16,unknown,unknown,intra,42,0.2,1.0,1.0
camembert (ia3),16,unknown,unknown,intra,123,0.2,1.0,1.0
camembert (ia3),16,unknown,unknown,intra,999,0.2,1.0,1.0
camembert (lora),32,unknown,unknown,intra,42,0.2,1.0,1.0
camembert (lora),32,unknown,unknown,intra,123,0.2,1.0,1.0
camembert (lora),32,unknown,unknown,intra,999,0.2,1.0,1.0
camembert (ia3),32,unknown,unknown,intra,42,0.2,1.0,1.0
camembert (ia3),32,unknown,unknown,intra,123,0.2,1.0,1.0
camembert (ia3),32,unknown,unknown,intra,999,0.2,1.0,1.0
camembert (lora),64,unknown,unknown,intra,42,0.2,1.0,1.0
camembert (lora),64,unknown,unknown,intra,123,0.2,1.0,1.0
camembert (lora),64,unknown,unknown,intra,999,0.2,1.0,1.0
camembert (ia3),64,unknown,unknown,intra,42,0.2,1.0,1.0
camembert (ia3),64,unknown,unknown,intra,123,0.2,1.0,1.0
camembert (ia3),64,unknown,unknown,intra,999,0.2,1.0,1.0
camembert (lora),128,unknown,unknown,intra,42,0.2,1.0,1.0
camembert (lora),128,unknown,unknown,intra,123,0.2,1.0,1.0
camembert (lora),128,unknown,unknown,intra,999,0.2,1.0,1.0
camembert (ia3),128,unknown,unknown,intra,42,0.2,1.0,1.0
camembert (ia3),128,unknown,unknown,intra,123,0.2,1.0,1.0
camembert (ia3),128,unknown,unknown,intra,999,0.2,1.0,1.0
model (lora),8,unknown,unknown,intra,42,0.2,1.0,1.0
model (lora),8,unknown,unknown,intra,42,0.2,1.0,1.0
model (lora),8,unknown,unknown,intra,42,0.2,1.0,1.0
model (ia3),8,unknown,unknown,intra,42,0.2,1.0,1.0
model (ia3),8,unknown,unknown,intra,42,0.2,1.0,1.0
model (ia3),8,unknown,unknown,intra,42,0.2,1.0,1.0
model (lora),16,unknown,unknown,intra,42,0.2,1.0,1.0
model (lora),16,unknown,unknown,intra,42,0.2,1.0,1.0
model (lora),16,unknown,unknown,intra,42,0.2,1.0,1.0
model (ia3),16,unknown,unknown,intra,42,0.2,1.0,1.0
model (ia3),16,unknown,unknown,intra,42,0.2,1.0,1.0
