model,n_params_B,train_dataset,eval_dataset,n_shots,seed,accuracy,f1_macro,parse_rate,intra_cross
Phi-3 3.8B,3.8,rte3,rte3,0,42,0.5531135531135531,0.4477488654727672,1.0,Intra
Phi-3 3.8B,3.8,sick,rte3,0,42,0.5531135531135531,0.4477488654727672,1.0,Cross
Phi-3 3.8B,3.8,gqnli,rte3,0,42,0.5531135531135531,0.4477488654727672,1.0,Cross
Phi-3 3.8B,3.8,fracas-gq,rte3,0,42,0.5531135531135531,0.4477488654727672,1.0,Cross
Phi-3 3.8B,3.8,daccord,sick,10,999,0.71,0.6916962033959827,1.0,Cross
Phi-3 3.8B,3.8,rte3,sick,10,999,0.63,0.5753950996449153,1.0,Cross
Phi-3 3.8B,3.8,sick,sick,10,999,0.75,0.7448088683714044,1.0,Intra
Phi-3 3.8B,3.8,gqnli,sick,10,999,0.79,0.784660504799147,1.0,Cross
Phi-3 3.8B,3.8,fracas-gq,sick,10,999,0.7123745819397993,0.697519847257046,0.9966666666666668,Cross
Phi-3 3.8B,3.8,daccord,sick,10,123,0.69,0.6498045150532681,1.0,Cross
Phi-3 3.8B,3.8,rte3,sick,10,123,0.7866666666666666,0.7759758699682928,1.0,Cross
Phi-3 3.8B,3.8,sick,sick,10,123,0.8466666666666667,0.8432150955020479,1.0,Intra
Phi-3 3.8B,3.8,gqnli,sick,10,123,0.78,0.7694771353307939,1.0,Cross
Phi-3 3.8B,3.8,fracas-gq,sick,10,123,0.7566666666666667,0.749915974716521,1.0,Cross
Phi-3 3.8B,3.8,daccord,sick,10,42,0.6766666666666666,0.6335119187808954,1.0,Cross
Phi-3 3.8B,3.8,rte3,sick,10,42,0.68,0.6335619073483151,1.0,Cross
Phi-3 3.8B,3.8,sick,sick,10,42,0.69,0.6484467519093795,1.0,Intra
Phi-3 3.8B,3.8,gqnli,sick,10,42,0.68,0.6370602591643553,1.0,Cross
Phi-3 3.8B,3.8,fracas-gq,sick,10,42,0.7333333333333333,0.720877376136413,1.0,Cross
Phi-3 3.8B,3.8,daccord,sick,5,999,0.8033333333333333,0.7976555866211039,1.0,Cross
Phi-3 3.8B,3.8,rte3,sick,5,999,0.7833333333333333,0.7764869266583632,1.0,Cross
Phi-3 3.8B,3.8,sick,sick,5,999,0.76,0.7480094329627679,1.0,Intra
Phi-3 3.8B,3.8,gqnli,sick,5,999,0.78,0.7699704986279802,1.0,Cross
Phi-3 3.8B,3.8,fracas-gq,sick,5,999,0.8133333333333334,0.8116096106541016,1.0,Cross
Phi-3 3.8B,3.8,daccord,sick,5,123,0.8160535117056856,0.8126134347742368,0.9966666666666668,Cross
Phi-3 3.8B,3.8,rte3,sick,5,123,0.7766666666666666,0.7614977614977615,1.0,Cross
Phi-3 3.8B,3.8,sick,sick,5,123,0.8033333333333333,0.7905589872645465,1.0,Intra
Phi-3 3.8B,3.8,gqnli,sick,5,123,0.8,0.7888338269917217,1.0,Cross
Phi-3 3.8B,3.8,fracas-gq,sick,5,123,0.82,0.8153091414596725,1.0,Cross
Phi-3 3.8B,3.8,daccord,sick,5,42,0.77,0.7584055401248279,1.0,Cross
Phi-3 3.8B,3.8,rte3,sick,5,42,0.7166666666666667,0.6864963977412865,1.0,Cross
Phi-3 3.8B,3.8,sick,sick,5,42,0.8333333333333334,0.8309794510535978,1.0,Intra
Phi-3 3.8B,3.8,gqnli,sick,5,42,0.7866666666666666,0.7776128196064569,1.0,Cross
Phi-3 3.8B,3.8,fracas-gq,sick,5,42,0.82,0.8164212979739484,1.0,Cross
Phi-3 3.8B,3.8,daccord,sick,3,999,0.7591973244147158,0.747521514018976,0.9966666666666668,Cross
Phi-3 3.8B,3.8,rte3,sick,3,999,0.7833333333333333,0.7764869266583632,1.0,Cross
Phi-3 3.8B,3.8,sick,sick,3,999,0.76,0.7480094329627679,1.0,Intra
Phi-3 3.8B,3.8,gqnli,sick,3,999,0.78,0.7699704986279802,1.0,Cross
Phi-3 3.8B,3.8,fracas-gq,sick,3,999,0.8133333333333334,0.8116096106541016,1.0,Cross
Phi-3 3.8B,3.8,daccord,sick,3,123,0.83,0.8260815096112437,1.0,Cross
Phi-3 3.8B,3.8,rte3,sick,3,123,0.7766666666666666,0.7614977614977615,1.0,Cross
Phi-3 3.8B,3.8,sick,sick,3,123,0.8033333333333333,0.7905589872645465,1.0,Intra
Phi-3 3.8B,3.8,gqnli,sick,3,123,0.8,0.7888338269917217,1.0,Cross
Phi-3 3.8B,3.8,fracas-gq,sick,3,123,0.82,0.8153091414596725,1.0,Cross
Phi-3 3.8B,3.8,daccord,sick,3,42,0.7333333333333333,0.7157558210478441,1.0,Cross
Phi-3 3.8B,3.8,rte3,sick,3,42,0.7166666666666667,0.6864963977412865,1.0,Cross
Phi-3 3.8B,3.8,sick,sick,3,42,0.8333333333333334,0.8309794510535978,1.0,Intra
Phi-3 3.8B,3.8,gqnli,sick,3,42,0.7866666666666666,0.7776128196064569,1.0,Cross
Phi-3 3.8B,3.8,fracas-gq,sick,3,42,0.82,0.8164212979739484,1.0,Cross
Phi-3 3.8B,3.8,daccord,sick,1,999,0.7666666666666667,0.751701616535709,1.0,Cross
Phi-3 3.8B,3.8,rte3,sick,1,999,0.7933333333333333,0.7852137950155571,1.0,Cross
Phi-3 3.8B,3.8,sick,sick,1,999,0.79,0.7774120661542044,1.0,Intra
Phi-3 3.8B,3.8,gqnli,sick,1,999,0.79,0.7752179521210412,1.0,Cross
Phi-3 3.8B,3.8,fracas-gq,sick,1,999,0.7633333333333333,0.7473676917190158,1.0,Cross
Phi-3 3.8B,3.8,daccord,sick,1,123,0.78,0.7633996767907494,1.0,Cross
Phi-3 3.8B,3.8,rte3,sick,1,123,0.73,0.6853813559322034,1.0,Cross
Phi-3 3.8B,3.8,sick,sick,1,123,0.8093645484949833,0.7939085205205078,0.9966666666666668,Intra
Phi-3 3.8B,3.8,gqnli,sick,1,123,0.7866666666666666,0.7697914165840061,1.0,Cross
Phi-3 3.8B,3.8,fracas-gq,sick,1,123,0.7878787878787878,0.7711443621898745,0.99,Cross
Phi-3 3.8B,3.8,daccord,sick,1,42,0.7633333333333333,0.7393626449984402,1.0,Cross
Phi-3 3.8B,3.8,rte3,sick,1,42,0.7123745819397993,0.6733833874458875,0.9966666666666668,Cross
Phi-3 3.8B,3.8,sick,sick,1,42,0.7566666666666667,0.7251059516252706,1.0,Intra
Phi-3 3.8B,3.8,gqnli,sick,1,42,0.76,0.740606461959144,1.0,Cross
Phi-3 3.8B,3.8,fracas-gq,sick,1,42,0.7190635451505016,0.6767690564444209,0.9966666666666668,Cross
Phi-3 3.8B,3.8,daccord,sick,0,999,0.6333333333333333,0.5161764141688179,1.0,Cross
Phi-3 3.8B,3.8,rte3,sick,0,999,0.6333333333333333,0.5161764141688179,1.0,Cross
Phi-3 3.8B,3.8,sick,sick,0,999,0.6333333333333333,0.5161764141688179,1.0,Intra
Phi-3 3.8B,3.8,gqnli,sick,0,999,0.6333333333333333,0.5161764141688179,1.0,Cross
Phi-3 3.8B,3.8,fracas-gq,sick,0,999,0.6333333333333333,0.5161764141688179,1.0,Cross
Phi-3 3.8B,3.8,daccord,sick,0,123,0.6333333333333333,0.5127854401762985,1.0,Cross
Phi-3 3.8B,3.8,rte3,sick,0,123,0.6333333333333333,0.5127854401762985,1.0,Cross
Phi-3 3.8B,3.8,sick,sick,0,123,0.6333333333333333,0.5127854401762985,1.0,Intra
Phi-3 3.8B,3.8,gqnli,sick,0,123,0.6333333333333333,0.5127854401762985,1.0,Cross
Phi-3 3.8B,3.8,fracas-gq,sick,0,123,0.6333333333333333,0.5127854401762985,1.0,Cross
Phi-3 3.8B,3.8,daccord,sick,0,42,0.6266666666666667,0.5146531438293909,1.0,Cross
Phi-3 3.8B,3.8,rte3,sick,0,42,0.6266666666666667,0.5146531438293909,1.0,Cross
Phi-3 3.8B,3.8,sick,sick,0,42,0.6266666666666667,0.5146531438293909,1.0,Intra
Phi-3 3.8B,3.8,gqnli,sick,0,42,0.6266666666666667,0.5146531438293909,1.0,Cross
Phi-3 3.8B,3.8,fracas-gq,sick,0,42,0.6266666666666667,0.5146531438293909,1.0,Cross
Phi-3 3.8B,3.8,daccord,gqnli,10,999,0.4033898305084746,0.3534507874500406,0.9833333333333332,Cross
Phi-3 3.8B,3.8,rte3,gqnli,10,999,0.35,0.2745460893854748,1.0,Cross
Phi-3 3.8B,3.8,sick,gqnli,10,999,0.4066666666666667,0.3739599133628559,1.0,Cross
Phi-3 3.8B,3.8,gqnli,gqnli,10,999,0.4533333333333333,0.4077364471730669,1.0,Intra
Phi-3 3.8B,3.8,fracas-gq,gqnli,10,999,0.3933333333333333,0.3799474462300589,1.0,Cross
Phi-3 3.8B,3.8,daccord,gqnli,10,123,0.3724832214765101,0.2927384970267638,0.9933333333333332,Cross
Phi-3 3.8B,3.8,rte3,gqnli,10,123,0.3933333333333333,0.3608806945585692,1.0,Cross
Phi-3 3.8B,3.8,sick,gqnli,10,123,0.3766666666666666,0.3609098228663446,1.0,Cross
Phi-3 3.8B,3.8,gqnli,gqnli,10,123,0.45,0.386050156739812,1.0,Intra
Phi-3 3.8B,3.8,fracas-gq,gqnli,10,123,0.3866666666666666,0.3323505107630026,1.0,Cross
Phi-3 3.8B,3.8,daccord,gqnli,10,42,0.38,0.3392499223210021,1.0,Cross
Phi-3 3.8B,3.8,rte3,gqnli,10,42,0.3633333333333333,0.2971601975028589,1.0,Cross
Phi-3 3.8B,3.8,sick,gqnli,10,42,0.34,0.2883961404955837,1.0,Cross
Phi-3 3.8B,3.8,gqnli,gqnli,10,42,0.47,0.3955668409356782,1.0,Intra
Phi-3 3.8B,3.8,fracas-gq,gqnli,10,42,0.3766666666666666,0.3590073072368007,1.0,Cross
Phi-3 3.8B,3.8,daccord,gqnli,5,999,0.42,0.4117435424370649,1.0,Cross
Phi-3 3.8B,3.8,rte3,gqnli,5,999,0.4266666666666667,0.4060671754681186,1.0,Cross
Phi-3 3.8B,3.8,sick,gqnli,5,999,0.4133333333333334,0.40298589454634,1.0,Cross
Phi-3 3.8B,3.8,gqnli,gqnli,5,999,0.4433333333333333,0.4057098025334185,1.0,Intra
Phi-3 3.8B,3.8,fracas-gq,gqnli,5,999,0.4533333333333333,0.4430615254951538,1.0,Cross
Phi-3 3.8B,3.8,daccord,gqnli,5,123,0.3633333333333333,0.320313758886565,1.0,Cross
Phi-3 3.8B,3.8,rte3,gqnli,5,123,0.42,0.4023449492552483,1.0,Cross
Phi-3 3.8B,3.8,sick,gqnli,5,123,0.3866666666666666,0.3560747789442021,1.0,Cross
Phi-3 3.8B,3.8,gqnli,gqnli,5,123,0.4733333333333334,0.3945378151260504,1.0,Intra
Phi-3 3.8B,3.8,fracas-gq,gqnli,5,123,0.4066666666666667,0.3729582143354105,1.0,Cross
Phi-3 3.8B,3.8,daccord,gqnli,5,42,0.4233333333333333,0.403881524193785,1.0,Cross
Phi-3 3.8B,3.8,rte3,gqnli,5,42,0.3866666666666666,0.3271599766882785,1.0,Cross
Phi-3 3.8B,3.8,sick,gqnli,5,42,0.3933333333333333,0.3842426090014346,1.0,Cross
Phi-3 3.8B,3.8,gqnli,gqnli,5,42,0.46,0.3925249059331844,1.0,Intra
Phi-3 3.8B,3.8,fracas-gq,gqnli,5,42,0.4366666666666666,0.4200576165472733,1.0,Cross
Phi-3 3.8B,3.8,daccord,gqnli,3,999,0.3678929765886287,0.3272623778588583,0.9966666666666668,Cross
Phi-3 3.8B,3.8,rte3,gqnli,3,999,0.4266666666666667,0.4060671754681186,1.0,Cross
Phi-3 3.8B,3.8,sick,gqnli,3,999,0.4133333333333334,0.40298589454634,1.0,Cross
Phi-3 3.8B,3.8,gqnli,gqnli,3,999,0.4433333333333333,0.4057098025334185,1.0,Intra
Phi-3 3.8B,3.8,fracas-gq,gqnli,3,999,0.4533333333333333,0.4430615254951538,1.0,Cross
Phi-3 3.8B,3.8,daccord,gqnli,3,123,0.38,0.342765983764126,1.0,Cross
Phi-3 3.8B,3.8,rte3,gqnli,3,123,0.42,0.4023449492552483,1.0,Cross
